article_id,date,total_quantity
ART001,2021-02-01,32
ART002,2021-02-01,53
ART003,2021-02-01,35
ART004,2021-02-01,43
ART005,2021-02-01,32
ART007,2021-02-01,22
ART008,2021-02-01,15
ART010,2021-02-01,10
ART011,2021-02-01,17
ART013,2021-02-01,27
ART014,2021-02-01,22
ART016,2021-02-01,3
ART021,2021-02-01,4
ART023,2021-02-01,10
ART024,2021-02-01,3
MED001,2021-02-01,56
MED002,2021-02-01,23
MED003,2021-02-01,27
MED004,2021-02-01,33
MED005,2021-02-01,28
MED006,2021-02-01,63
MED007,2021-02-01,10
MED008,2021-02-01,42
MED009,2021-02-01,60
MED010,2021-02-01,30
MED011,2021-02-01,54
MED012,2021-02-01,42
MED014,2021-02-01,17
MED015,2021-02-01,27
MED017,2021-02-01,18
MED018,2021-02-01,6
MED020,2021-02-01,11
MED024,2021-02-01,21
MED025,2021-02-01,16
MED026,2021-02-01,9
MED028,2021-02-01,1
MED033,2021-02-01,7
PH201,2021-02-01,45
PH202,2021-02-01,23
PH203,2021-02-01,21
PH204,2021-02-01,14
PH205,2021-02-01,11
PH206,2021-02-01,16
PH209,2021-02-01,6
PH216,2021-02-01,4
PH220,2021-02-01,1
PH223,2021-02-01,1
PH234,2021-02-01,32
ART001,2021-02-02,41
ART002,2021-02-02,43
ART003,2021-02-02,29
ART004,2021-02-02,72
ART006,2021-02-02,11
ART007,2021-02-02,24
ART008,2021-02-02,25
ART009,2021-02-02,25
ART013,2021-02-02,18
ART014,2021-02-02,10
ART015,2021-02-02,11
ART018,2021-02-02,8
ART023,2021-02-02,8
ART032,2021-02-02,1
MED001,2021-02-02,25
MED002,2021-02-02,24
MED003,2021-02-02,30
MED004,2021-02-02,53
MED005,2021-02-02,42
MED006,2021-02-02,56
MED007,2021-02-02,11
MED008,2021-02-02,14
MED009,2021-02-02,31
MED010,2021-02-02,36
MED011,2021-02-02,35
MED012,2021-02-02,28
MED013,2021-02-02,3
MED014,2021-02-02,25
MED016,2021-02-02,6
MED017,2021-02-02,13
MED018,2021-02-02,12
MED019,2021-02-02,18
MED020,2021-02-02,13
MED021,2021-02-02,23
MED023,2021-02-02,27
MED024,2021-02-02,10
MED025,2021-02-02,14
MED029,2021-02-02,5
MED030,2021-02-02,8
MED038,2021-02-02,1
PH202,2021-02-02,29
PH203,2021-02-02,10
PH204,2021-02-02,13
PH205,2021-02-02,13
PH213,2021-02-02,1
PH217,2021-02-02,11
PH221,2021-02-02,1
PH234,2021-02-02,34
ART001,2021-02-03,39
ART002,2021-02-03,22
ART003,2021-02-03,43
